glove_red=1,avg_KD,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,total_time_fought(seconds),total_rounds_fought,Height_cms,Reach_cms,Weight_lbs,age,winner_red=1_blue=0_draw=2
1,0,0.37,55,160,60,562,2,187.96,190.5,262,29,1
1,0.00390625,0.3965625,62.01074219,168.1152344,74.49707031,891.140625,33,162.56,160.02,115,31,0
1,0.007827759,0.389215631,82.9070015,215.0486565,99.85672092,878.4863343,57,177.8,180.34,145,36,1
1,0.75,0.4175,59.875,147.5,63.625,900,12,182.88,187.96,145,32,1
1,0.375,0.46625,50.375,125,65.75,752.375,10,170.18,170.18,135,33,1
1,0.0625,0.51375,48.3125,113.25,63.4375,808.6875,14,182.88,187.96,185,28,1
1,0,0.24,14,103,49,900,3,165.1,170.18,135,31,1
1,0.09375,0.478554687,46.2265625,128.109375,74.6484375,896.0625,25,180.34,193.04,170,34,1
1,0,0.59375,91.875,166.5,106.75,627.625,10,172.72,172.72,155,34,0
1,,,,,,,0,170.18,177.8,135,26,1
1,0.125,0.4396875,40.53125,96.71875,47.53125,618.8125,11,200.66,203.2,258,34,0
1,0.5234375,0.353164063,51.890625,154.0917969,58.17382813,523.2285156,25,185.42,193.04,185,29,1
1,0.25012207,0.595946045,78.75073242,169.3022461,110.8338623,898.4940186,38,177.8,180.34,155,34,0
1,0.625,0.596328125,63.3125,164.578125,116.1640625,701.0703125,21,190.5,205.74,185,27,1
1,0.817016602,0.449675903,36.53204346,85.76812744,40.97412109,728.2456055,32,182.88,200.66,185,36,1
1,0,0.73375,28.375,60.75,45.125,740,10,177.8,177.8,145,26,1
1,0,0.24,24,108,33,784,6,190.5,193.04,205,32,1
1,0,0.33,2,6,2,155,1,182.88,185.42,170,36,0
1,0,0.38,22,74,38,650.5,5,170.18,167.64,135,26,1
1,,,,,,,0,175.26,185.42,185,25,0
1,0.09375,0.4959375,61.953125,171.71875,115.5,1201.9375,24,200.66,203.2,250,32,1
1,0.4375,0.613125,23.1875,59.875,41.3125,356.75,11,190.5,190.5,205,28,1
1,0.00787735,0.441179657,34.36572742,66.50210428,40.39141107,615.2605245,45,210.82,213.36,265,32,0
1,0.550964355,0.384127808,66.43481445,186.1096191,83.60577393,1191.017151,42,182.88,185.42,185,29,1
1,0.125,0.39453125,65.609375,186.7929688,87.8125,875.7109375,27,165.1,170.18,125,37,1
1,0.001464844,0.534594727,55.50976563,147.21875,91.2421875,922.2744141,36,177.8,177.8,155,32,1
1,0.0625,0.495625,86.625,183.0625,102.625,742.875,13,167.64,175.26,140,27,0
1,0,0.4275,23.25,78.5,40.25,408,6,190.5,195.58,155,26,1
1,0,0.54,10.5,40.5,24,454.5,4,162.56,157.48,125,25,0
1,0.5,0.46,43,102.5,45.5,391.5,4,193.04,198.12,205,26,2
