fighter,gloves_color,date,Winner,avg_KD,avg_SIG_STR_pct,avg_TD_pct,avg_SUB_ATT,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_TD_landed,avg_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Polyana Viana,red,2/13/2021,Red,0,0.500625,0.29375,0.6875,18,55.375,31.8125,0.375,21.25,256.875,9,0,1,0,1,2,3,0,0,0,0,0,2,0,Orthodox,165.1,170.18,115,28
Rodolfo Vieira,red,2/13/2021,Blue,0,0.48,0.71,1,11.5,38.5,23.5,2.5,222,372,3,0,2,0,2,2,0,0,0,0,0,0,2,0,Orthodox,182.88,185.42,185,31
Gabe Green,red,2/13/2021,Red,0,0.46,0,0,127,273,127,0,11,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Switch,177.8,185.42,170,27
Andre Ewell,red,2/13/2021,Blue,0.03125,0.4125,0.03125,0,94.4375,231.8125,98.59375,0.03125,44.625,885.625,18,0,1,0,2,4,2,0,0,3,1,0,0,0,Southpaw,172.72,190.5,135,33
Alexandre Pantoja,red,2/6/2021,Red,0.31640625,0.514726563,0.538007813,0.08984375,35.6796875,79.0625,42,1.015625,104.8046875,669.7304688,21,0,2,0,3,6,3,0,0,1,1,2,2,0,Orthodox,165.1,170.18,125,30
Karol Rosa,red,2/6/2021,Red,0.5,0.5,0.25,0,145.5,323.5,177,1,207,900,6,0,2,0,2,2,0,0,0,1,1,0,0,0,Orthodox,165.1,170.18,135,26
Devonte Smith,red,2/6/2021,Red,0.5,0.555,0,0,15.5,29,15.5,0,1.25,197.25,3,0,2,0,2,2,1,0,0,0,0,2,0,0,Orthodox,175.26,193.04,155,27
Michael Johnson,red,2/6/2021,Blue,0.002096653,0.418470678,0.066361055,0.00390625,45.89661813,112.1593521,47.45066857,0.071717501,16.06794381,594.965261,58,1,0,1,4,11,12,0,0,1,6,4,0,0,Southpaw,177.8,185.42,155,34
Alistair Overeem,red,2/6/2021,Blue,0.316196442,0.784054794,0.791147614,0.032226563,75.09521484,115.1883621,93.28151321,2.031803131,301.5439682,964.51408,42,1,1,0,4,12,7,0,1,0,2,9,0,0,Orthodox,193.04,203.2,265,40
Diego Ferreira,red,2/6/2021,Blue,0.033203125,0.413535156,0.243203125,0.693359375,55.72265625,169.2441406,68.078125,1.626953125,141.4394531,588.3417969,21,0,2,0,6,8,2,0,0,0,3,3,2,0,Orthodox,175.26,187.96,155,36
Cory Sandhagen,red,2/6/2021,Red,0.546875,0.4603125,0.0625,0.0625,37.3125,86.0625,40.84375,0.171875,39.4375,392.734375,14,0,5,0,5,6,1,0,0,1,1,3,1,0,Switch,180.34,177.8,135,28
Mike Rodriguez,red,2/6/2021,Blue,1.3125,0.6890625,0,0,56.96875,98.25,72.125,0,116.5625,512.71875,12,0,0,1,1,2,4,0,0,0,0,2,0,0,Southpaw,193.04,208.28,205,32
Ode Osbourne,red,2/6/2021,Red,0,0.64,0,0,9,25,19,0,4,169,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,170.18,185.42,145,29
SeungWoo Choi,red,2/6/2021,Red,0.5,0.4175,0.25,0,59.75,190,113,0.5,217.25,874.25,9,0,0,2,1,1,2,0,0,0,1,0,0,0,Orthodox,182.88,187.96,145,28
Molly McCann,red,2/6/2021,Blue,0,0.4575,0.22375,0.375,73.0625,166.8125,86.125,1.625,93,870.3125,14,0,0,1,3,3,2,0,0,0,3,0,0,0,Orthodox,162.56,157.48,125,30
Timur Valiev,red,2/6/2021,Red,1,0.7,0,0,66,93,66,0,1,419,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,167.64,170.18,145,31
Dan Hooker,red,1/23/2021,Blue,0.228637695,0.564252319,0.272658691,0.020019531,124.9509888,238.0290527,142.9579468,2.258056641,277.4575195,1278.599365,37,0,1,0,4,10,5,0,0,1,1,6,2,0,Switch,182.88,190.5,155,30
Andrew Sanchez,red,1/23/2021,Blue,0.5625,0.4246875,0.05453125,0,42.1171875,127.796875,56.6328125,0.453125,118.1015625,568.375,22,1,2,0,2,5,3,0,0,0,4,1,0,0,Orthodox,185.42,187.96,185,32
Julianna Pena,red,1/23/2021,Red,0,0.43203125,0.488125,0.15625,31.03125,131.75,78.984375,2.390625,330.59375,791.40625,16,1,4,0,4,5,2,0,0,0,3,2,0,0,Orthodox,167.64,175.26,135,31
Jessica Eye,red,1/23/2021,Blue,0,0.318757324,0.029296875,0.095703125,67.921875,220.4174805,74.45458984,0.080078125,15.39501953,1128.000977,39,1,0,2,3,5,8,0,0,2,2,0,0,1,Orthodox,167.64,167.64,125,34
Dustin Poirier,red,1/23/2021,Red,0.065246582,0.522530613,0.102279209,2.390918493,112.4348326,230.5745336,146.6528025,0.717065215,119.5255345,1202.237241,58,2,4,0,4,18,6,0,1,0,6,8,3,0,Southpaw,175.26,182.88,155,32
Brad Tavares,red,1/23/2021,Red,0.187507629,0.236583252,0.034378967,0,23.64103699,85.21774292,28.12729645,0.28653717,62.40726471,645.5224609,49,0,2,0,5,12,6,0,0,2,8,2,0,0,Orthodox,185.42,187.96,185,33
Arman Tsarukyan,red,1/23/2021,Red,0,0.415,0.165,0,60.5,179.5,101.5,1.25,239,900,9,0,0,1,2,2,1,0,0,0,2,0,0,0,Orthodox,170.18,182.88,155,24
Marina Rodriguez,red,1/23/2021,Red,0.0625,0.485,0.03125,0.125,55.625,146.875,85.5,0.125,65.4375,900,15,0,0,1,2,2,3,0,0,0,2,0,0,0,Orthodox,167.64,165.1,115,33
Amir Albazi,red,1/23/2021,Red,0,0.42,1,1,12,46,28,1,141,282,1,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,165.1,172.72,125,27
Khalil Rountree Jr.,red,1/23/2021,Blue,1.08984375,0.442539062,0,0.03125,25.26171875,56.1328125,27.0703125,0,18.0078125,360.7617188,15,1,0,2,2,4,5,0,0,0,1,3,0,0,Southpaw,185.42,193.04,205,30
Nik Lentz,red,1/23/2021,Blue,0.06262207,0.375992686,0.187129152,0.21976316,45.44696832,139.3857043,55.84668744,1.280564785,132.7327863,741.1738205,64,0,1,0,4,14,10,0,0,2,7,3,2,0,Orthodox,172.72,172.72,145,36
Ricky Simon,red,1/20/2021,Red,0.125,0.436875,0.4771875,0.03125,53.96875,141.34375,69.9375,5.53125,241.09375,793.25,16,0,3,0,3,4,2,0,0,1,2,1,0,0,Orthodox,167.64,175.26,135,28
Omari Akhmedov,red,1/20/2021,Red,0.002197266,0.34682373,0.477583008,0.004150391,39.59570313,136.7329102,60.82617188,2.883544922,121.5378418,898.3200684,33,0,1,0,3,8,5,0,0,1,5,2,0,0,Orthodox,182.88,185.42,185,33
Warlley Alves,red,1/20/2021,Red,0.250976563,0.363554688,0.636660156,1.03125,27.11328125,68.92773438,33.16113281,1.694335938,158.9902344,549.8701172,27,1,4,0,4,7,4,0,0,0,2,1,3,1,Orthodox,180.34,182.88,170,30
Matt Schnell,red,1/20/2021,Red,0,0.34125,0.140625,0.546875,18.59375,60.125,27.1875,0.140625,4.09375,266.046875,11,0,0,2,4,4,3,0,0,1,1,0,2,0,Orthodox,172.72,177.8,125,31
Roxanne Modafferi,red,1/20/2021,Blue,0.125,0.330273438,0.448515625,0.00390625,47.734375,226.1054688,106.9414063,2.3125,321.4921875,899.3125,28,1,0,2,1,4,5,0,0,1,2,1,0,0,Orthodox,170.18,175.26,125,38
Ike Villanueva,red,1/20/2021,Red,0,0.645,0,0,11.5,39,19.5,0,29,220,3,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,185.42,185.42,225,36
